stop_id,stop_name,stop_lat,stop_lon
12TH,12th St. Oakland City Center,37.803768,-122.27145
16TH,16th St. Mission,37.765062,-122.419694
19TH,19th St. Oakland,37.80835,-122.268602
19TH_N,19th St. Oakland,37.80835,-122.268602
24TH,24th St. Mission,37.75247,-122.418143
ASHB,Ashby,37.852803,-122.270062
BALB,Balboa Park,37.721585,-122.447506
BAYF,Bay Fair,37.696924,-122.126514
CAST,Castro Valley,37.690746,-122.075602
CIVC,Civic Center/UN Plaza,37.779732,-122.414123
COLS,Coliseum,37.753661,-122.196869
COLM,Colma,37.684638,-122.466233
CONC,Concord,37.973737,-122.029095
DALY,Daly City,37.70612055,-122.4690807
DBRK,Downtown Berkeley,37.870104,-122.268133
DUBL,Dublin/Pleasanton,37.701687,-121.899179
DELN,El Cerrito del Norte,37.925086,-122.316794
PLZA,El Cerrito Plaza,37.902632,-122.298904
EMBR,Embarcadero,37.792874,-122.39702
FRMT,Fremont,37.557465,-121.976608
FTVL,Fruitvale,37.774836,-122.224175
GLEN,Glen Park,37.733064,-122.433817
HAYW,Hayward,37.669723,-122.087018
LAFY,Lafayette,37.893176,-122.12463
LAKE,Lake Merritt,37.797027,-122.26518
MCAR,MacArthur,37.829065,-122.26704
MCAR_S,MacArthur,37.829065,-122.26704
MLBR,Millbrae,37.600271,-122.386702
MONT,Montgomery St.,37.789405,-122.401066
NBRK,North Berkeley,37.873967,-122.28344
NCON,North Concord/Martinez,38.003193,-122.024653
OAKL,Oakland Int'l Airport,37.713238,-122.212191
ORIN,Orinda,37.87836087,-122.1837911
PITT,Pittsburg/Bay Point,38.018914,-121.945154
PHIL,Pleasant Hill/Contra Costa Centre,37.928468,-122.056012
POWL,Powell St.,37.784471,-122.407974
RICH,Richmond,37.936853,-122.353099
ROCK,Rockridge,37.844702,-122.251371
SBRN,San Bruno,37.637761,-122.416287
SFIA,San Francisco Int'l Airport,37.615966,-122.392409
SANL,San Leandro,37.721947,-122.160844
SHAY,South Hayward,37.634375,-122.057189
SSAN,South San Francisco,37.664245,-122.44396
UCTY,Union City,37.59063,-122.017388
WCRK,Walnut Creek,37.905522,-122.067527
WDUB,West Dublin/Pleasanton,37.699756,-121.92824
WOAK,West Oakland,37.804872,-122.29514
WARM,Warm Springs / South Fremont,37.502171,-121.939313
