stop_id,stop_name,stop_lat,stop_lon
40001,Main St & Folsom St-Transbay Terminal,37.789703,-122.392197
40006,Folsom St & 2nd St,37.785618,-122.39653
40009,Howard St & 2nd St,37.786678,-122.398453
40012,4th St & Folsom St,37.781784,-122.400993
40018,Folsom St & 7th St,37.776634,-122.407898
40019,7th St & Market St,37.780727,-122.41275
40020,8th St & Mission St,37.77729,-122.413071
40021,Hyde St & McAllister St,37.780785,-122.415428
40022,McAllister St & Hyde St,37.780731,-122.415558
40023,San Francisco Civic Ctr-Golden Gate Ave & Polk St,37.781197,-122.41861
40024,McAllister St & Polk St- San Francisco Civic Ctr,37.780289,-122.418831
40025,Van Ness Ave & O'Farrell St,37.784809,-122.421402
40027,Van Ness Ave & Sutter St,37.787357,-122.421906
40028,Van Ness Ave & Sutter St,37.787724,-122.421654
40029,Van Ness Ave & Sacramento St,37.791348,-122.422722
40030,Van Ness Ave & Clay St,37.792355,-122.422577
40031,Van Ness Ave & Union St,37.798622,-122.424179
40032,Van Ness Ave & Union St,37.798481,-122.423836
40033,Lombard St & Fillmore St,37.799706,-122.436157
40034,Lombard St & Fillmore St,37.799961,-122.435974
40035,Richardson Ave & Lyon St,37.800606,-122.447685
40036,Richardson Ave & Francisco St,37.800369,-122.446915
40037,Golden Gate Bridge Toll Plaza-Hwy 101,37.806713,-122.475479
40038,Golden Gate Bridge Toll Plaza-Hwy 101,37.807518,-122.475533
40039,Van Ness Ave & Chestnut St,37.802444,-122.424637
40040,Van Ness Ave & Chestnut St,37.802086,-122.42485
40041,North Point St & Hyde St,37.805653,-122.420486
40042,North Point St & Hyde St,37.80579,-122.42028
40043,North Point St & Jones St,37.806068,-122.417191
40044,North Point St & Jones St,37.806194,-122.417313
40045,North Point St & Stockton St,37.8069,-122.410622
40046,North Point St & Stockton St,37.80703,-122.410416
40047,Battery St & Filbert St,37.8022,-122.401886
40048,Sansome St & Filbert St,37.80233,-122.402954
40049,Battery St & Jackson St,37.796852,-122.400803
40050,Sansome St & Pacific St,37.797672,-122.402023
40051,Battery St & Sacramento St,37.79422,-122.400246
40052,Sansome St & Sacramento St,37.794266,-122.401344
40053,Battery St & Pine St,37.791977,-122.399796
40054,1st St & Stevenson St,37.790615,-122.398727
40055,The Embarcadero & Bay St,37.806694,-122.406227
40056,North Point St & The Embarcadero,37.807381,-122.407669
40057,Fremont St btwn Market St & Mission St,37.79063,-122.396843
40058,Battery St & Green St,37.800529,-122.401535
40060,Golden Gate Ave & Laguna St,37.780109,-122.427139
40061,McAllister St & Laguna St,37.779324,-122.426735
40063,Van Ness Ave & Chestnut St,37.802338,-122.424896
40065,North Point St & Polk St,37.805313,-122.423897
40066,Battery St & Broadway,37.798397,-122.4011
40068,Howard St & Fremont St,37.789318,-122.395111
40069,Pine St & Battery St,37.792381,-122.399284
40074,Fremont St & Mission St,37.790421,-122.396576
40078,Van Ness Ave & Broadway,37.79591,-122.423294
40082,Sansome St & Lombard St,37.803955,-122.40329
40083,Hyde St & Grove St,37.779549,-122.415176
40090,Bridgeway & Ebbtide St,37.87022,-122.5037
40091,Bridgeway & Gate 5 Rd,37.871155,-122.503876
40092,Bridgeway & Nevada St,37.865463,-122.499229
40093,Bridgeway & Nevada St,37.86528,-122.499367
40094,Bridgeway & Easterby St,37.861786,-122.493881
40095,Bridgeway & Easterby St,37.861969,-122.493622
40096,Bridgeway & Napa St,37.861065,-122.489319
40097,Bridgeway & Napa St,37.861393,-122.489555
40098,Bridgeway & Pine St,37.859154,-122.485077
40099,Bridgeway & Turney St,37.859657,-122.485893
40100,Bridgeway & Caledonia Av,37.85844,-122.482864
40101,Bridgeway & Excelsior Ln,37.855904,-122.479614
40102,Bridgeway & Bay St,37.856831,-122.480225
40104,Second St & Main St,37.848732,-122.480843
40105,Second St & Main St,37.84906,-122.480698
40106,Alexander Ave & East Rd,37.844833,-122.477943
40107,Alexander Ave & East Rd,37.844906,-122.477806
40108,Alexander Ave & Danes Dr,37.838066,-122.483116
40110,Hwy 101 @ Spencer Ave Bus Pad,37.853199,-122.493103
40111,Hwy 101 @ Spencer Ave Bus Pad,37.85173,-122.490349
40112,Hwy 101 & Monte Mar Dr,37.854202,-122.492859
40113,Donahue St & Terners Dr,37.871777,-122.51107
40114,Donahue St & Sherwood Dr,37.876457,-122.518944
40115,Donahue St & Sherwood Dr,37.876339,-122.51519
40116,Donahue St & Sherwood Dr,37.876411,-122.515327
40117,Donahue St & Buckelew St,37.876045,-122.513092
40118,Donahue St & Buckelew St,37.876175,-122.513115
40119,Drake Ave & Donahue St,37.873631,-122.512413
40120,Donahue St & Drake Ave,37.873558,-122.511726
40121,Drake Ave & Buckelew St,37.873203,-122.515457
40122,Drake Ave & Buckelew St,37.873001,-122.515411
40123,Drake Ave & Cole Dr,37.868587,-122.510612
40124,Drake Ave & Cole Dr,37.86871,-122.510666
40125,Drake Ave & Donahue St,37.871292,-122.509193
40126,Drake Ave & Donahue St,37.871258,-122.509315
40129,E Blithedale Ave & Tower Dr,37.903687,-122.519165
40130,E Blithedale Ave & Kipling Dr,37.903465,-122.519203
40131,E Blithedale Ave & Lomita Dr,37.900944,-122.526512
40132,E Blithedale Ave & Roque Moraes Dr,37.900642,-122.526573
40133,E Blithedale Ave & Mesa Ave,37.90184,-122.532654
40134,E Blithedale Ave & Nelson Ave,37.900665,-122.529938
40135,E Blithedale Ave & Alta Vista Ave,37.903568,-122.536354
40136,E Blithedale Ave & Hilarita Ave,37.901711,-122.532631
40137,E Blithedale Ave & East Dr,37.903824,-122.538353
40138,E Blithedale Ave & Elm Ave,37.902077,-122.533493
40139,E Blithedale Ave & Mountain View Ave,37.905239,-122.543915
40140,E Blithedale Ave & Walnut Ave,37.903732,-122.539543
40141,E Blithedale Ave & Hill St,37.905258,-122.544182
40142,Mill Valley Depot-Sunnyside Ave & Miller Ave,37.905663,-122.547409
40143,Miller Ave & Una Way,37.901356,-122.541695
40144,Miller Ave & Park Ave,37.901619,-122.541519
40145,Miller Ave & Montford Ave,37.897327,-122.536949
40146,Miller Ave & Locust Ave,37.898407,-122.537849
40147,Miller Ave & Reed St,37.895096,-122.534416
40148,Miller Ave & Reed St,37.895557,-122.534439
40149,Miller Ave & Camino Alto,37.892776,-122.530296
40150,Miller Ave & Camino Alto,37.893253,-122.530609
40151,Almonte Blvd & Miller Ave,37.887188,-122.524834
40152,Almonte Blvd & Miller Ave,37.887569,-122.52475
40153,Almonte Blvd & Rosemont Ave,37.883987,-122.524841
40154,Almonte Blvd & Rosemont Ave,37.884026,-122.52462
40155,Tam Junction-Shoreline Hwy & Almonte Blvd,37.881977,-122.524948
40156,Tam Junction-Shoreline Hwy & Almonte Blvd,37.882069,-122.524818
40157,Mill Valley Depot-Miller Ave & Sunnyside Ave,37.905514,-122.547371
40158,Reed Blvd & Belvedere Dr,37.898609,-122.513275
40162,Manzanita Park & Ride Lot,37.879318,-122.516273
40164,Hwy 101 @ Tiburon Wye Bus Pad,37.903759,-122.51609
40168,Reed Blvd & Redwood Hwy Frontage Rd,37.901188,-122.5149
40169,Shoreline Hwy & Pohono St,37.879616,-122.515167
40170,Hwy 101 @ Tiburon Wye Bus Pad,37.90173,-122.515381
40171,Tiburon Blvd & Hwy 101 SB-Off Ramp,37.90274,-122.514404
40172,Tiburon Blvd & Hwy 101 NB-Off Ramp,37.902504,-122.514008
40173,Tiburon Blvd & Bay Vista Dr,37.89925,-122.504532
40174,Redwood Hwy Frontage Rd & Belvedere Dr,37.896713,-122.51577
40175,Tiburon Blvd & N Knoll Rd,37.90197,-122.511063
40176,Tiburon Blvd & N Knoll Rd,37.902248,-122.511078
40177,Tiburon Blvd & Strawberry Dr,37.898983,-122.504494
