stop_id,stop_name,stop_lat,stop_lon
390,19TH AVENUE & HOLLOWAY ST,37.72119,-122.475096
913,DUBLIN ST & LAGRANDE AVE,37.719192,-122.425802
3003,2ND ST & BRANNAN ST   ,37.781827,-122.391945
3004,2ND ST & BRANNAN ST   ,37.781854,-122.392232
3009,2ND ST & HARRISON ST   ,37.784532,-122.395325
3010,2ND ST & HARRISON ST   ,37.784095,-122.395016
3011,2ND ST & HOWARD ST   ,37.786559,-122.398109
3013,2ND ST & STEVENSON ST   ,37.78862,-122.40065
3015,2ND ST & TOWNSEND ST   ,37.780622,-122.390685
3016,3RD ST & 4TH ST  ,37.772618,-122.389786
3018,BACON ST & SAN BRUNO AVE   ,37.727739,-122.40324
3019,BACON ST & SAN BRUNO AVE  ,37.727645,-122.403269
3020,BACON ST & SOMERSET ST  ,37.72667,-122.40746
3021,BACON ST & SOMERSET ST  ,37.72654,-122.40766
3023,BOWLEY ST & GIBSON RD,37.790249,-122.482263
3024,BAKER ST & GREENWICH ST  ,37.797606,-122.445693
3025,BATTERY ST & BROADWAY  ,37.798311,-122.401093
3026,BATTERY ST & FILBERT ST  ,37.80221,-122.401894
3029,BATTERY ST & GREEN ST  ,37.80055,-122.40151
3030,BATTERY ST & JACKSON ST  ,37.79686,-122.40077
3031,BAY ST & MIDWAY ST  ,37.806094,-122.409161
3032,BALBOA ST & 4TH AVE  ,37.777396,-122.461751
3033,BALBOA ST & 4TH AVE  ,37.777262,-122.461969
3034,BALBOA ST & 6TH AVE  ,37.777289,-122.464158
3035,BALBOA ST & 6TH AVE  ,37.777173,-122.463849
3036,BALBOA ST & 8TH AVE  ,37.777199,-122.466038
3037,BALBOA ST & 8TH AVE  ,37.777065,-122.466256
3038,BALBOA ST & 10TH AVE  ,37.777101,-122.46817
3039,BALBOA ST & 10TH AVE  ,37.776967,-122.468388
3040,BALBOA ST & 12TH AVE  ,37.777002,-122.470313
3041,BALBOA ST & 12TH AVE  ,37.776868,-122.470531
3042,BALBOA ST & 14TH AVE  ,37.77678,-122.4727
3043,BALBOA ST & 17TH AVE  ,37.77676,-122.475769
3044,BALBOA ST & 17TH AVE  ,37.776626,-122.475987
3045,BALBOA ST & 19TH AVE  ,37.776662,-122.477912
3046,BALBOA ST & 19TH AVE  ,37.776528,-122.47813
3047,BALBOA ST & 21ST AVE  ,37.776563,-122.480056
3048,BALBOA ST & 21ST AVE  ,37.776429,-122.480273
3049,BALBOA ST & 23RD AVE  ,37.77647,-122.48219
3050,BALBOA ST & 23RD AVE  ,37.77633,-122.482417
3051,BALBOA ST & 25TH AVE  ,37.776356,-122.484606
3052,BALBOA ST & 25TH AVE  ,37.77624,-122.484296
3053,BALBOA ST & 28TH AVE  ,37.776222,-122.487551
3054,BALBOA ST & 28TH AVE  ,37.776088,-122.487769
3055,BALBOA ST & 30TH AVE  ,37.776114,-122.489958
3056,BALBOA ST & 30TH AVE  ,37.775989,-122.489912
3057,BALBOA ST & 32ND AVE  ,37.776024,-122.491838
3058,BALBOA ST & 32ND AVE  ,37.77589,-122.492056
3059,BALBOA ST & 34TH AVE  ,37.775791,-122.494199
3060,BALBOA ST & 35TH AVE   ,37.775898,-122.494577
3061,BALBOA ST & 37TH AVE  ,37.775781,-122.497202
3062,BALBOA ST & 37TH AVE  ,37.775647,-122.497419
3063,BALBOA ST & 40TH AVE  ,37.775637,-122.500399
3064,BALBOA ST & 40TH AVE  ,37.775503,-122.500617
3065,BALBOA ST & 43RD AVE  ,37.775484,-122.50362
3066,BALBOA ST & 43RD AVE  ,37.77535,-122.503838
3067,BALBOA ST & ARGUELLO BLVD  ,37.77747,-122.45886
3070,BALBOA ST & PARK PRESIDIO BLVD,37.776895,-122.472227
3071,BALBOA ST & PARK PRESIDIO BLVD,37.776788,-122.472411
3072,BRODERICK ST & BAY ST  ,37.801541,-122.444798
3074,BRODERICK ST & BEACH ST  ,37.803415,-122.445176
3075,BRODERICK ST & FRANCISCO ST  ,37.800622,-122.444603
3076,BRODERICK ST & JEFFERSON ST  ,37.804343,-122.44536
3077,BRODERICK ST & NORTH POINT ST ,37.802478,-122.444982
3082,BROADWAY & GRANT AVE  ,37.797831,-122.406345
3084,BROADWAY & MONTGOMERY ST  ,37.798134,-122.40396
3085,BROADWAY & STEINER ST  ,37.794131,-122.436442
3086,BROADWAY & STEINER ST  ,37.794056,-122.436278
3087,BROADWAY & STOCKTON ST  ,37.797591,-122.408294
3089,BEALE ST & MISSION ST   ,37.791939,-122.396879
3090,BEACH ST & DIVISADERO ST  ,37.803629,-122.443674
3092,BEACH ST & MASON ST  ,37.807407,-122.414125
3093,BEACH ST & POLK ST   ,37.806375,-122.423195
3094,BEACH ST & SCOTT ST   ,37.80378,-122.44258
3095,BEACH ST & STOCKTON ST  ,37.807841,-122.41081
3096,BEMIS ST & MOFFITT ST   ,37.736655,-122.431181
3103,3RD ST & 20TH ST  ,37.76079,-122.38846
