station_id,bikes_available,docks_available,time
90,7,24,29-08-16 16:43
91,3,32,28-08-16 19:57
91,3,32,30-08-16 0:11
90,8,23,25-08-16 8:40
91,4,31,26-08-16 17:54
91,5,30,31-08-16 13:42
91,10,24,24-08-16 19:49
91,5,30,31-08-16 17:44
90,3,28,30-08-16 15:21
90,3,28,30-08-16 12:29
91,3,32,28-08-16 21:50
91,6,29,26-08-16 15:35
91,3,32,29-08-16 7:03
90,7,24,25-08-16 8:39
91,10,24,24-08-16 16:55
91,3,32,28-08-16 16:59
91,4,31,26-08-16 23:28
90,2,29,30-08-16 11:19
91,3,32,28-08-16 15:16
91,3,32,28-08-16 14:02
91,3,32,28-08-16 1:55
91,2,33,25-08-16 10:47
91,3,32,28-08-16 17:52
91,1,34,25-08-16 17:53
91,4,31,27-08-16 17:03
91,4,31,27-08-16 13:09
91,1,34,25-08-16 14:49
91,4,31,27-08-16 2:42
91,6,29,26-08-16 11:29
91,3,32,28-08-16 12:31
91,6,29,26-08-16 13:14
91,12,23,25-08-16 7:08
91,5,30,31-08-16 15:42
91,3,32,29-08-16 2:56
91,3,32,30-08-16 6:54
91,6,29,26-08-16 9:34
87,0,0,18-07-16 8:32
91,3,32,29-08-16 6:17
90,7,24,29-08-16 13:05
90,2,29,30-08-16 9:39
91,3,32,29-08-16 17:03
91,3,32,29-08-16 8:49
91,1,34,25-08-16 13:52
91,2,33,27-08-16 20:13
91,3,32,25-08-16 23:37
91,4,31,31-08-16 18:41
91,6,29,26-08-16 1:57
91,12,23,25-08-16 6:52
90,2,29,30-08-16 11:00
90,7,24,25-08-16 8:33
91,3,32,28-08-16 5:56
91,10,24,24-08-16 16:33
91,10,24,24-08-16 14:45
91,3,32,30-08-16 5:55
90,7,24,29-08-16 10:12
90,7,24,29-08-16 14:16
91,1,34,25-08-16 16:50
91,3,32,28-08-16 16:06
90,3,28,30-08-16 11:55
91,3,32,25-08-16 21:46
91,2,33,27-08-16 22:28
91,10,24,24-08-16 15:45
91,3,32,29-08-16 16:02
87,0,0,18-07-16 9:08
91,12,23,25-08-16 4:22
91,3,32,28-08-16 4:53
91,1,34,25-08-16 16:57
91,1,34,25-08-16 17:01
90,3,28,30-08-16 15:29
91,4,31,27-08-16 4:00
91,3,32,30-08-16 16:11
91,3,32,25-08-16 23:10
91,3,32,29-08-16 23:17
91,6,29,26-08-16 6:11
91,3,32,29-08-16 22:30
90,7,24,29-08-16 17:00
91,5,30,31-08-16 8:59
91,6,29,26-08-16 12:21
91,2,33,30-08-16 16:58
90,2,29,30-08-16 11:39
91,4,31,27-08-16 5:27
90,7,24,29-08-16 11:03
91,3,32,28-08-16 13:59
91,3,32,29-08-16 6:33
91,3,32,28-08-16 20:26
91,3,32,29-08-16 16:21
91,3,32,30-08-16 10:13
90,7,24,29-08-16 14:14
90,4,27,26-08-16 7:27
91,3,32,28-08-16 1:32
91,4,31,27-08-16 12:04
91,3,32,29-08-16 14:25
91,3,32,30-08-16 2:45
91,4,31,27-08-16 17:01
91,1,34,25-08-16 18:02
91,3,32,29-08-16 6:57
91,6,29,26-08-16 13:35
91,3,32,29-08-16 15:33
91,3,32,29-08-16 9:25
91,4,31,27-08-16 15:40
91,3,32,28-08-16 13:03
91,6,29,26-08-16 13:30
90,6,25,26-08-16 8:45
91,4,31,29-08-16 19:32
90,5,26,26-08-16 15:20
91,3,32,28-08-16 3:38
91,5,30,31-08-16 15:50
91,3,32,28-08-16 0:30
91,3,32,29-08-16 3:05
91,1,34,25-08-16 15:32
91,3,32,30-08-16 9:41
91,6,29,26-08-16 5:31
90,6,25,26-08-16 9:31
91,3,32,29-08-16 17:46
91,5,30,31-08-16 17:24
91,11,23,24-08-16 19:46
91,3,32,30-08-16 8:55
90,4,27,26-08-16 7:37
91,3,32,28-08-16 14:07
91,2,33,30-08-16 17:08
91,4,31,26-08-16 17:28
91,12,23,24-08-16 23:03
91,3,32,30-08-16 5:40
91,3,32,27-08-16 17:56
91,3,32,29-08-16 18:16
91,4,31,27-08-16 2:57
91,4,31,27-08-16 4:40
91,3,32,29-08-16 10:12
91,4,31,27-08-16 9:05
91,3,32,29-08-16 2:24
91,3,32,30-08-16 9:56
91,4,31,26-08-16 20:30
90,7,24,29-08-16 12:08
91,3,32,28-08-16 20:40
91,4,31,27-08-16 14:53
91,4,31,26-08-16 20:05
90,5,26,26-08-16 8:29
90,6,25,26-08-16 9:24
90,7,24,26-08-16 13:00
91,6,29,26-08-16 2:18
91,3,32,30-08-16 5:26
91,1,34,25-08-16 13:55
91,3,32,27-08-16 22:54
91,6,29,26-08-16 7:39
91,3,32,30-08-16 4:37
91,3,32,28-08-16 13:57
